_id,INSEGNA,CLASSIFICAZIONE,INDIRIZZO,MUNICIPIO,TIPOLOGIA ESERCIZIO,SINGOLE,DOPPIE,TRIPLE,QUADRUPLE,QUINTUPLE,TOTALE CAMERE,POSTI LETTO
1694,CORSO VITTORIO 308,2,"CORSO VITTORIO EMANUELE II, 308",Municipio I (ex Mun I),Affittacamere,,5,,,,"",10
1695,CORSO 12,3,"VIA DEL CORSO, 12",Municipio I (ex Mun I),Affittacamere,1,3,,,,"",7
1696,CORSO 281,3,"VIA DEL CORSO, 281",Municipio I (ex Mun I),Affittacamere,,2,3,1,,"",17
1697,COSIMO,3,"VIA VENTI SETTEMBRE, 95",Municipio I (ex Mun I),Affittacamere,2,2,,,,"",6
1698,COSMOS,2,"VIA EMANUELE FILIBERTO, 109",Municipio I (ex Mun I),Affittacamere,,4,,,,"",8
1699,COSTANTINOS HOUSE,3,"VIA CAPO D'AFRICA, 30",Municipio I (ex Mun I),Affittacamere,3,2,,,,"",7
1700,COSTANTINO'S ROOMS,3,"VIA CAPO D'AFRICA, 20/A",Municipio I (ex Mun I),Affittacamere,,1,1,,,"",5
1701,COTE' ROME,2,"VIA DANIELE MANIN, 69",Municipio I (ex Mun I),Affittacamere,,2,,1,,"",8
1702,COTE' ROME COLOSSEO,2,"VIA CAVOUR, 58",Municipio I (ex Mun I),Affittacamere,1,3,1,,,"",10
1703,CRIALE,2,"VIA CARLO BOTTA, 7",Municipio I (ex Mun I),Affittacamere,2,2,,,,"",7
1704,CRISPI SUITES,3,"VIA FRANCESCO CRISPI, 10",Municipio I (ex Mun I),Affittacamere,,,2,1,,"",10
1705,CRISTINA MINERVA,2,"VIA DEI GIUBBONARI, 47",Municipio I (ex Mun I),Affittacamere,,3,,,,"",6
1706,CROSSING CONDOTTI,3,"VIA MARIO DE FIORI, 28",Municipio I (ex Mun I),Affittacamere,,5,,,,"",10
1707,CROSTI ROOMS,2,"VIA CASTELFIDARDO, 56",Municipio I (ex Mun I),Affittacamere,2,2,,,,"",6
1708,CRYSTAL,2,"VIA TUSCOLANA, 695",Municipio VII (ex Mun X),Affittacamere,1,3,,,,"",7
1709,DAMA,2,"VIA MILAZZO, 42",Municipio I (ex Mun I),Affittacamere,,3,2,,,"",12
1710,DAMA DI ROMA,3,"VIA PETRARCA, 22",Municipio I (ex Mun I),Affittacamere,1,2,,,,"",5
1711,DANIEL AT ST. PETER'S,3,"PIAZZA DELLA STAZIONE DI S. PIETRO, 10",Municipio XIII (ex Mun XVIII),Affittacamere,,6,,,,"",12
1712,DANIEL ROOMS,3,"VIA PALESTRO, 56",Municipio I (ex Mun I),Affittacamere,,,5,,,"",15
1713,DANIKA'S ROOMS,3,"VIA CARLO CATTANEO, 23",Municipio I (ex Mun I),Affittacamere,,,1,2,2,"",21
1714,DAPHNE INN,2,"VIA DI S. BASILIO, 55",Municipio I (ex Mun I),Affittacamere,1,5,,,,"",11
1715,DAPHNE TREVI,3,"VIA DEGLI AVIGNONESI, 20",Municipio I (ex Mun I),Affittacamere,,,1,1,,"",7
1716,DARE,3,"VIA GIOVANNI GIOLITTI, 239",Municipio I (ex Mun I),Affittacamere,2,,1,,,"",5
1717,DA.SI. ROOMS DI ARABIA DANIELE,2,"VIA GIUSEPPE BENEDETTO DUSMET, 12",Municipio XIV (ex Mun XIX),Affittacamere,,3,,,,"",3
1718,DAY BY DAY,3,"VIA CRESCENZIO, 74",Municipio I (ex Mun XVII),Affittacamere,1,3,,,,"",7
1719,D&D,3,"VIA EMANUELE GIANTURCO, 11",Municipio II (ex Mun II),Affittacamere,1,3,,,,"",7
1720,D&D LUXURY HOUSE,3,"PIAZZA DELL'INDIPENDENZA, 5",Municipio I (ex Mun I),Affittacamere,1,4,,,,"",9
1721,DE GUESTIBUS,3,"VIA TUSCOLANA, 1256",Municipio VII (ex Mun X),Affittacamere,1,2,,,,"",5
1722,DE LUXE INN 6,3,"VIA DEL VIMINALE, 38",Municipio I (ex Mun I),Affittacamere,,5,,,,"",10
1723,DE LUXE ROOMS,3,"VIA CATONE, 21",Municipio I (ex Mun XVII),Affittacamere,1,4,,,,"",9
1724,DE SANTIS HOLIDAYS,2,"VIA LABICO, 114",Municipio V (ex Mun VI),Affittacamere,,1,,2,,"",10
1725,DEA ROMA INN,1,"VIA CARLO BARTOLOMEO PIAZZA, 1",Municipio II (ex Mun III),Affittacamere,1,4,1,,,"",12
1726,DEBORA'S HOME,2,"VIA GIUSEPPE FERRARI, 11",Municipio I (ex Mun XVII),Affittacamere,,3,1,,,"",9
1727,DEKO ROME,1,"VIA TOSCANA, 1",Municipio I (ex Mun I),Affittacamere,1,4,,1,,"",13
1728,DELANO,3,"VIA DEL CORSO, 81",Municipio I (ex Mun I),Affittacamere,1,2,1,,,"",8
1729,DELSI SUITES,3,"VIA DELLA VITE, 14",Municipio I (ex Mun I),Affittacamere,,4,,,,"",8
1730,DELUXE PAPI,3,"VIA DEI GRACCHI, 161",Municipio I (ex Mun XVII),Affittacamere,,6,,,,"",12
1731,DEM GUEST HOUSE TIBURTINA,3,"VIA TEODORICO, 22",Municipio II (ex Mun III),Affittacamere,,2,2,,,"",8
1732,DEM GUEST HOUSE 2,3,"PIAZZA MANFREDO FANTI, 38",Municipio I (ex Mun I),Affittacamere,,4,,,,"",8
1733,DEMI'S HOME,3,"VIA DELLA CAVA AURELIA, 96",Municipio XIII (ex Mun XVIII),Affittacamere,,3,,,1,"",10
1734,DESEO HOME,2,"VIA PALESTRO, 3",Municipio I (ex Mun I),Affittacamere,1,3,1,,,"",10
1735,DESIGN VIVALDI,2,"VIA DEL CORSO, 75",Municipio I (ex Mun I),Affittacamere,1,4,1,,,"",12
1736,DESIGN 2 ART PIE',3,"VIA DI PIE' DI MARMO, 18",Municipio I (ex Mun I),Affittacamere,,3,,1,,"",10
1737,DESSO SUITE,2,"VIA PALESTRO, 3",Municipio I (ex Mun I),Affittacamere,,4,,,,"",8
1738,DG PRESTIGE ROOM,3,"VIA LOMBARDIA, 30",Municipio I (ex Mun I),Affittacamere,1,5,,,,"",11
1739,DHALY SUITE,3,"VIA FILIPPO TURATI, 23",Municipio I (ex Mun I),Affittacamere,,2,1,,,"",7
1740,DI FRONTE AI MUSEI VATICANI,2,"VIALE VATICANO, 84",Municipio I (ex Mun XVII),Affittacamere,,4,,,,"",8
1741,DI MONTE GIORGIO,3,"VIA RATTAZZI, 65",Municipio I (ex Mun I),Affittacamere,1,2,,,,"",5
1742,DI RIENZO PANTHEON PALACE,3,"VIA DEI REDENTORISTI, 14",Municipio I (ex Mun I),Affittacamere,1,1,1,,1,"",11
1743,DI RIENZO ROBERTO,1,"VIA DEI CONDOTTI, 85",Municipio I (ex Mun I),Affittacamere,,6,,,,"",12
1744,DIMORA DEGLI DEI,2,"VIA DEL SEMINARIO, 87",Municipio I (ex Mun I),Affittacamere,,5,1,,,"",13
1745,DIMORA NOVECENTO,1,"VIA PO, 50",Municipio II (ex Mun II),Affittacamere,,3,,,,"",6
1746,DIMORA STORICA URBANA,2,"VIA URBANA, 33",Municipio I (ex Mun I),Affittacamere,3,1,,,,"",5
1747,DINO HOSTEL,3,"VIA GIOVANNI GIOLITTI, 213",Municipio I (ex Mun I),Affittacamere,1,1,1,,,"",6
1748,DISCOVER ROMA,2,"VIA CASTELFIDARDO, 50",Municipio I (ex Mun I),Affittacamere,2,3,,,,"",8
1749,DISCOVERY HOSTEL,3,"VIA PRINCIPE AMEDEO, 331/A",Municipio I (ex Mun I),Affittacamere,,1,1,,,"",5
1750,DISCOVERY HOSTELS 247,3,"VIA CERNAIA, 32","",Affittacamere,,1,,,,"",8
1751,DK SUITES,3,"VIA LEONINA, 11",Municipio I (ex Mun I),Affittacamere,,2,1,,,"",7
1752,D.M. LUXURY SUITES,2,"VIA GIACOMO MEDICI, 1/a",Municipio I (ex Mun I),Affittacamere,,4,1,,,"",11
1753,D.M.G. DI DI MARTINO GIANCARLO,1,"LARGO VENTUNO APRILE, 4/A",Municipio II (ex Mun III),Affittacamere,1,5,,,,"",11
1754,DOMENICO,2,"VIA CASTELFIDARDO, 48",Municipio I (ex Mun I),Affittacamere,,2,4,,,"",6
1755,DOMIZIA,3,"VIA DEI CORONARI, 14/A",Municipio I (ex Mun I),Affittacamere,2,4,,,,"",10
1756,DOMIZIA SANCTI ANGELI,2,"LUNGOTEVERE DEGLI ALTOVITI, 1","",Affittacamere,,4,1,,,"",11
1757,DOMIZIANO,1,"VIA DI S. NICOLA DA TOLENTINO, 50",Municipio I (ex Mun I),Affittacamere,,6,,,,"",12
1758,DOMO' VATICANO GUEST HOUSE,3,"VIALE DELLE MILIZIE, 76",Municipio I (ex Mun XVII),Affittacamere,,3,1,1,,"",13
1759,DOMUS ADRIANI,1,"VIA DI PALLACORDA, 9",Municipio I (ex Mun I),Affittacamere,,5,,,,"",10
1760,DOMUS ALBERTI,2,"VIA VENEZIA, 15",Municipio I (ex Mun I),Affittacamere,,3,2,,,"",12
1761,DOMUS AMELIA,2,"VIA CASILINA, 3/c",Municipio VII (ex Mun IX),Affittacamere,,2,,,,"",6
1762,DOMUS AUGUSTA,2,"VIA MILAZZO, 42",Municipio I (ex Mun I),Affittacamere,2,3,,,,"",8
1763,DOMUS AURORA ROMA,2,"VIA MILAZZO, 3",Municipio I (ex Mun I),Affittacamere,1,2,,,,"",5
1764,DOMUS BELLA ROMA,2,"VIA RUGGERO FIORE, 50",Municipio I (ex Mun XVII),Affittacamere,,2,1,,,"",7
1765,DOMUS BOCCA DI LEONE,2,"VIA BOCCA DI LEONE, 36",Municipio I (ex Mun I),Affittacamere,1,2,1,,,"",8
1766,DOMUS CARACALLA,3,"VIA DI S. ERASMO, 11",Municipio I (ex Mun I),Affittacamere,,4,,1,,"",12
1767,DOMUS CASTRENSE,2,"VIALE DELL'UNIVERSITA', 25",Municipio I (ex Mun I),Affittacamere,1,4,1,,,"",12
1768,DOMUS CITTA' GIARDINO,3,"VIALE ADRIATICO, 20",Municipio III (ex Mun IV),Affittacamere,,4,,1,,"",12
1769,DOMUS COPPEDE',2,"VIA RENO, 23",Municipio II (ex Mun II),Affittacamere,,6,,,,"",12
1770,DOMUS CORNELIA,3,"PIAZZA IRNERIO, 57",Municipio XIII (ex Mun XVIII),Affittacamere,,4,1,,,"",11
1771,DOMUS CORONARI,3,"VIA DEI CORONARI, 236",Municipio I (ex Mun I),Affittacamere,,2,,,,"",4
1772,DOMUS DIANA,3,"VIA MECENATE, 27",Municipio I (ex Mun I),Affittacamere,,5,,,,"",10
1773,DOMUS DOMAS,3,"VIA CARLO ALBERTO, 53",Municipio I (ex Mun I),Affittacamere,,4,2,,,"",14
1774,DOMUS ELETTRA,3,"VIA DI PIETRALATA, 147",Municipio IV (ex Mun V),Affittacamere,1,5,,,,"",11
1775,DOMUS ELISA,3,"VIA CAVOUR, 124",Municipio I (ex Mun I),Affittacamere,2,2,,,,"",6
1776,DOMUS ESTER,3,"VIA DI S. SALVATORE IN CAMPO, 38",Municipio I (ex Mun I),Affittacamere,4,2,,,,"",8
1777,DOMUS EXQUILIA,3,"VIA FOSCOLO, 17",Municipio I (ex Mun I),Affittacamere,1,3,,,,"",7
1778,DOMUS FABIOLA VATICANO,3,"VIA DELLE FORNACI, 64",Municipio I (ex Mun XVII),Affittacamere,,2,1,,,"",7
1779,DOMUS FELIX,3,"VIA MESSINA, 25",Municipio I (ex Mun I),Affittacamere,3,2,1,,,"",11
1780,DOMUS FERRARO,3,"VIA CAVOUR, 266",Municipio I (ex Mun I),Affittacamere,,2,,2,,"",12
1781,DOMUS FLAVIAE,3,"VIA ANGELO POLIZIANO, 8",Municipio I (ex Mun I),Affittacamere,1,1,1,,,"",6
1782,DOMUS FONTIS,2,"VIA DEI CROCIFERI, 41",Municipio I (ex Mun I),Affittacamere,,3,1,,,"",9
1783,DOMUS GIARDINI VATICANI,3,"VIA GINO NAIS, 48",Municipio I (ex Mun XVII),Affittacamere,1,2,1,,,"",8
1784,DOMUS JULIA,1,"VIA RASELLA, 32",Municipio I (ex Mun I),Affittacamere,,4,2,,,"",14
1785,DOMUS LIBERA,3,"VICOLO DEL PIOMBO, 7/6A",Municipio I (ex Mun I),Affittacamere,,4,2,,,"",14
1786,DOMUS LIBERIUS,1,"VIA LIBERIANA, 17",Municipio I (ex Mun I),Affittacamere,1,2,1,,,"",8
1787,DOMUS LIBERIUS ROME,2,"VIA LIBERIANA, 17",Municipio I (ex Mun I),Affittacamere,,1,3,,,"",11
1788,DOMUS LIVIA,1,"VIA NAZIONALE, 230",Municipio I (ex Mun I),Affittacamere,,6,,,,"",12
1789,DOMUS LUDOVICA,2,"VIA DELLA CROCE, 15",Municipio I (ex Mun I),Affittacamere,,6,,,,"",12
1790,DOMUS LUNAE,3,"VIA GERMANICO, 172",Municipio I (ex Mun XVII),Affittacamere,1,2,,,,"",5
1791,DOMUS MAGGIORE,3,"PIAZZA DI S. MARIA MAGGIORE, 12",Municipio I (ex Mun I),Affittacamere,2,2,,,,"",6
1792,DOMUS MAX,2,"VIA DELLA CROCE, 15",Municipio I (ex Mun I),Affittacamere,1,5,,,,"",11
1793,DOMUS PALATINA,3,"PIAZZA MANFREDO FANTI, 10",Municipio I (ex Mun I),Affittacamere,1,4,,,,"",9
1794,DOMUS PINCIANA,3,"VIA CAMPANIA, 61/A",Municipio I (ex Mun I),Affittacamere,,5,,,,"",10
1795,DOMUS PRATI,3,"VIALE DELLE MILIZIE, 3",Municipio I (ex Mun XVII),Affittacamere,,1,3,,,"",11
1796,DOMUS REAL CARDELLO,2,"VIA DEL CARDELLO, 14",Municipio I (ex Mun I),Affittacamere,,2,1,1,,"",11
1797,DOMUS RITA,2,"VIA DI SCORTICABOVE, 9",Municipio IV (ex Mun V),Affittacamere,3,2,,,,"",7
1798,DOMUS ROMA,2,"VIA LIBERIANA, 17",Municipio I (ex Mun I),Affittacamere,,5,,,,"",10
1799,DOMUS ROMA S.R.L.S.,2,"PIAZZA DI S. GIOVANNI IN LATERANO, 26",Municipio I (ex Mun I),Affittacamere,1,4,,,,"",9
1800,DOMUS ROMA.COM,2,"VIA GREGORIO VII, 111",Municipio XIII (ex Mun XVIII),Affittacamere,1,1,1,,,"",6
1801,DOMUS ROMANTICA HOLIDAYS,2,"VIA BELISARIO, 7","",Affittacamere,,4,2,,,"",12
1802,DOMUS SANTA MARIA,3,"VIA DELL'ARCO DI S. CALISTO, 19",Municipio I (ex Mun I),Affittacamere,1,5,,,,"",11
1803,DOMUS SANTA MARIA MAGGIORE,2,"VIA LIBERIANA, 17",Municipio I (ex Mun I),Affittacamere,,1,2,2,,"",15
1804,DOMUS SCIPIONI,3,"VIA DEGLI SCIPIONI, 295",Municipio I (ex Mun XVII),Affittacamere,2,,,,,"",4
1805,DOMUS SOLIS S. PIETRO,3,"PIAZZA DEL RISORGIMENTO, 20",Municipio I (ex Mun XVII),Affittacamere,,3,,,,"",6
1806,DOMUS SPAGNA,2,"VIA DI CAPO LE CASE, 18",Municipio I (ex Mun I),Affittacamere,,3,1,,,"",9
1807,DOMUS VATICANO,2,"VIA LUIGI RIZZO, 81",Municipio I (ex Mun XVII),Affittacamere,1,2,,,,"",5
1808,DOMUS VIA VENETO,2,"VIA TOSCANA, 1",Municipio I (ex Mun I),Affittacamere,2,2,1,,,"",9
1809,DOMUS VIATORIS,2,"VIA PIO VIII, 5",Municipio XIII (ex Mun XVIII),Affittacamere,,5,,1,,"",14
1810,DOMUS VICTORIA,3,"PIAZZA VITTORIO EMANUELE II, 138",Municipio I (ex Mun I),Affittacamere,,4,1,,,"",11
1811,DOMUS 78,3,"VIALE DI TRASTEVERE, 78",Municipio I (ex Mun I),Affittacamere,1,3,,1,,"",11
1812,DONNA ISABELLA,3,"VIA DEL GOVERNO VECCHIO, 118",Municipio I (ex Mun I),Affittacamere,,2,,1,,"",14
1813,DORICA 2,2,"PIAZZA DEL VIMINALE, 14",Municipio I (ex Mun I),Affittacamere,2,4,,,,"",10
1814,DORMIRE A ROMA,2,"VIA CARLO ALBERTO, 43",Municipio I (ex Mun I),Affittacamere,,5,,,,"",10
1815,DOTORI' ROOMS,3,"PIAZZA VITTORIO EMANUELE II, 47",Municipio I (ex Mun I),Affittacamere,2,1,,,,"",4
1816,DOUBLE B,3,"VIA VITTORIO AMEDEO II, 22",Municipio I (ex Mun I),Affittacamere,,3,,,,"",6
1817,DOWNTOWN BOUTIQUE HOUSE,3,"VIA FRATTINA, 99",Municipio I (ex Mun I),Affittacamere,,6,,,,"",12
1818,D.R. ROME SPANISH LUXURY SUITES,3,"VIA FRATTINA, 46",Municipio I (ex Mun I),Affittacamere,1,3,1,1,,"",14
1819,DRAGO D'ORO,3,"PIAZZA VITTORIO EMANUELE II, 121",Municipio I (ex Mun I),Affittacamere,,5,,,1,"",15
1820,DREAM CITY ROME,3,"VIA SILLA, 7",Municipio I (ex Mun XVII),Affittacamere,1,2,,,,"",5
1821,DREAM STATION,3,"VIA GIOVANNI GIOLITTI, 119",Municipio I (ex Mun I),Affittacamere,,3,3,,,"",15
1822,DREAM SUITE,1,"VIA MODENA, 5",Municipio I (ex Mun I),Affittacamere,,6,,,,"",12
1823,DREAMING ROMA,3,"VIA PRINCIPE AMEDEO, 47",Municipio I (ex Mun I),Affittacamere,2,1,,1,,"",8
1824,DREAMS OF ROME,2,"VIA FRANCESCO PACELLI, 14",Municipio XIII (ex Mun XVIII),Affittacamere,,1,1,1,,"",9
1825,DREAMS ROMA,3,"VIA FILIPPO TURATI, 23",Municipio I (ex Mun I),Affittacamere,2,2,,,,"",6
1826,DUECENTOSETTE COMFORT INN,2,"VIALE GIULIO CESARE, 207",Municipio I (ex Mun XVII),Affittacamere,1,2,1,,,"",8
1827,DUEMILADODICI ROOMS,2,"VIA DEGLI SCIPIONI, 239",Municipio I (ex Mun XVII),Affittacamere,,6,,,,"",12
1828,DULCIS IN TRASTEVERE,3,"VIALE DI TRASTEVERE, 141",Municipio I (ex Mun I),Affittacamere,,4,,,,"",8
1829,DVE SUITE ROMA,2,"PIAZZA VITTORIO EMANUELE II, 113",Municipio I (ex Mun I),Affittacamere,,3,1,1,,"",13
1830,EARNEST ROMA STAZIONE TIBURTINA,3,"VIA DELLE CAVE DI PIETRALATA, 36",Municipio IV (ex Mun V),Affittacamere,1,1,2,,,"",9
1831,EARNEST STATION INN,3,"VIA DELLE CAVE DI PIETRALATA, 36",Municipio IV (ex Mun V),Affittacamere,,,9,,,"",9
1832,EAT & SLEEP,3,"LARGO BERNARDINO DA FELTRE, 1",Municipio XII (ex Mun XVI),Affittacamere,2,1,,,,"",4
1833,EATS & SHEETS COLOSSEO,3,"VIA CAPO D'AFRICA, 31",Municipio I (ex Mun I),Affittacamere,,3,,,,"",6
1834,ECCE ROMA,3,"VIA DANIELE MANIN, 69",Municipio I (ex Mun I),Affittacamere,,4,1,1,,"",15
1835,ECO ROOMS,3,"VIA DEI FULVI, 67","",Affittacamere,,3,1,1,1,"",18
1836,ECO' SUITES,2,"VIA SICILIA, 153",Municipio I (ex Mun I),Affittacamere,2,1,,,,"",4
1837,ECOLODGE,2,"VIA DIRE DAUA, 2",Municipio I (ex Mun I),Affittacamere,1,3,,,,"",7
1838,EDEN GUEST HOUSE ROME,3,"VIA CAIROLI, 101",Municipio I (ex Mun I),Affittacamere,,2,4,,,"",16
1839,EDYTA,3,"VIA RATTAZZI, 65",Municipio I (ex Mun I),Affittacamere,,2,1,,,"",7
1840,EL TROTAMUNDO,3,"VIA DEL PIGNETO, 3",Municipio V (ex Mun VI),Affittacamere,2,3,,,,"",8
1841,ELDORADO,3,"VIA FABIO MASSIMO, 72",Municipio I (ex Mun XVII),Affittacamere,,5,,,,"",10
1842,ELDORADO COLOSSEUM,3,"VIA EMANUELE FILIBERTO, 73",Municipio I (ex Mun I),Affittacamere,,4,,,,"",8
1843,ELEVEN ROME 1,3,"VIA MACHIAVELLI, 13",Municipio I (ex Mun I),Affittacamere,,1,1,,,"",5
1844,ELSOL,3,"PIAZZA TARQUINIA, 2",Municipio VII (ex Mun IX),Affittacamere,1,2,,,,"",5
1845,EMANUELA,2,"VIA BIXIO, 41",Municipio I (ex Mun I),Affittacamere,,3,2,,,"",12
1846,EMILY HOUSE,3,"VIA MUZIO ATTENDOLO, 43",Municipio V (ex Mun VI),Affittacamere,2,2,,,,"",6
1847,ENA GUEST HOUSE,3,"VIA MERULANA, 43",Municipio I (ex Mun I),Affittacamere,,3,2,,,"",12
1848,ENJOY,2,"VIA DELL'ESQUILINO, 38",Municipio I (ex Mun I),Affittacamere,,4,,1,,"",12
1849,ENJOY ROMA VATICAN,2,"VIALE GIULIO CESARE, 183",Municipio I (ex Mun XVII),Affittacamere,,5,,,,"",10
1850,ENRICO FERMI HOUSE,3,"VIA ENRICO FERMI, 79",Municipio XI (ex Mun XV),Affittacamere,1,4,,,,"",9
1851,ER CENTURIONE,3,"VIA PELLEGRINO MATTEUCCI, 41",Municipio VIII (ex Mun XI),Affittacamere,2,4,,,,"",10
1852,ER CENTURIONE,3,"VIA PELLEGRINO MATTEUCCI, 41",Municipio VIII (ex Mun XI),Affittacamere,2,4,,,,"",10
1853,ERITREA SUITE,3,"VIALE ERITREA, 30",Municipio II (ex Mun II),Affittacamere,,2,1,,,"",7
1854,ERMELINDA,3,"VIA CERNAIA, 49",Municipio I (ex Mun I),Affittacamere,,1,3,,,"",11
1855,ERMES RELAIS,2,"VIA DI PORTA PERTUSA, 4",Municipio XIII (ex Mun XVIII),Affittacamere,,3,,,,"",6
1856,ESEDRA INN,2,"VIA NAZIONALE, 243",Municipio I (ex Mun I),Affittacamere,,5,1,,,"",13
1857,ESQUILINO RELAIS,3,"VIA DELL'ESQUILINO, 38",Municipio I (ex Mun I),Affittacamere,,,2,,1,"",11
1858,ESQUILINO RENT ROOMS II,3,"PIAZZA DELL'ESQUILINO, 29",Municipio I (ex Mun I),Affittacamere,2,3,,,,"",8
1859,ESQUIRE INN,3,"VIA CALATAFIMI, 14/A",Municipio I (ex Mun I),Affittacamere,1,2,,,,"",5
1860,ETERNA ROMA,2,"PIAZZA MANFREDO FANTI, 22",Municipio I (ex Mun I),Affittacamere,1,2,1,,,"",8
1861,EUR ARCOBALENO,3,"VIALE DELL'AERONAUTICA, 60",Municipio IX (ex Mun XII),Affittacamere,1,3,,,,"",7
1862,EUROSTAR,2,"VIA GIOVANNI GIOLITTI, 177",Municipio I (ex Mun I),Affittacamere,5,1,,,,"",7
1863,EVAN'S GUEST HOUSE,3,"PIAZZA VITTORIO EMANUELE II, 55",Municipio I (ex Mun I),Affittacamere,,1,3,1,,"",21
1864,EVA'S ROOMS,2,"VIA DEI DUE MACELLI, 31",Municipio I (ex Mun I),Affittacamere,,4,1,,,"",11
1865,EVA'S ROOMS TWO,2,"VIA DEI DUE MACELLI, 31",Municipio I (ex Mun I),Affittacamere,4,1,,,,"",6
1866,EVERGREEN,2,"VIA MILAZZO, 23",Municipio I (ex Mun I),Affittacamere,2,2,,,,"",6
1867,EXCEL PASSETTO SUITES,3,"VIA DEI CORRIDORI, 1",Municipio I (ex Mun XVII),Affittacamere,,1,2,,,"",8
1868,EZIO ROOMS,2,"VIA EZIO, 19",Municipio I (ex Mun XVII),Affittacamere,1,5,,,,"",11
1869,FACE TO FACE APARTMENTS,3,"VIA FLAMINIA, 287",Municipio II (ex Mun II),Affittacamere,2,4,,,,"",10
1870,FAMILY TWO,3,"VIA BIXIO, 80",Municipio I (ex Mun I),Affittacamere,1,2,,,,"",5
1871,FANTI ROOMS,3,"PIAZZA MANFREDO FANTI, 42",Municipio I (ex Mun I),Affittacamere,,3,1,,,"",9
1872,FAVOLA ROMANESCA,3,"VIA PIO MOLAJONI, 19",Municipio IV (ex Mun V),Affittacamere,1,1,,,,"",3
1873,FEDERICI GUEST HOUSE,2,"VIALE GIULIO CESARE, 151",Municipio I (ex Mun XVII),Affittacamere,,5,,,,"",10
1874,FEDERICO SUITE,3,"VIA ENRICO CIALDINI, 14",Municipio I (ex Mun I),Affittacamere,,2,1,,,"",7
1875,FELLINI INN,2,"VIA RASELLA, 55",Municipio I (ex Mun I),Affittacamere,2,4,,,,"",10
1876,FERRARI HOME,2,"VIA GIUSEPPE FERRARI, 11",Municipio I (ex Mun XVII),Affittacamere,1,2,2,,,"",11
1877,FIDELIO GUEST HOUSE COLOSSEUM,3,"VIA DELL'ARA DI CONSO, 4",Municipio I (ex Mun I),Affittacamere,,,2,,,"",6
1878,FILIPPO,3,"VIA VITTORIO AMEDEO II, 22",Municipio I (ex Mun I),Affittacamere,,1,2,,,"",8
1879,FILIPPO ROOMS,2,"VIA FILIPPO TURATI, 163",Municipio I (ex Mun I),Affittacamere,,4,,,,"",8
1880,FINESTRA SU TRASTEVERE,3,"PIAZZA GIUDITTA TAVANI ARQUATI, 113",Municipio I (ex Mun I),Affittacamere,1,4,,,,"",9
1881,FIORI IN CAMPO,3,"PIAZZA DEL BISCIONE, 83",Municipio I (ex Mun I),Affittacamere,,2,1,,,"",7
1882,FIORY ROOMS,3,"VIA MERULANA, 61",Municipio I (ex Mun I),Affittacamere,1,1,1,,,"",6
1883,FIRST FLOOR COLOSSEO,3,"VIA DI S. GIOVANNI IN LATERANO, 10",Municipio I (ex Mun I),Affittacamere,,3,,,,"",6
1884,FIRST SUITES,2,"VIA DELLA PURIFICAZIONE, 15",Municipio I (ex Mun I),Affittacamere,,4,,,,"",8
1885,FIVE OSCARS INN,3,"VIA MILANO, 49",Municipio I (ex Mun I),Affittacamere,,1,1,,,"",5
1886,FIVE SENSES,3,"VIA DEGLI SCIPIONI, 113",Municipio I (ex Mun XVII),Affittacamere,,4,,,,"",8
1887,FLAMINIA 1177,3,"VIA FLAMINIA, 1177",Municipio XV (ex Mun XX),Affittacamere,1,2,1,,,"",8
1888,FLANN O'BRIEN ROOMS,2,"VIA NAPOLI, 29/B",Municipio I (ex Mun I),Affittacamere,2,2,,,,"",6
1889,FLANN'S ROOMS,2,"VIA FIRENZE, 47",Municipio I (ex Mun I),Affittacamere,2,4,,,,"",10
1890,FLAT 285 LA SUITE,2,"VIA COLA DI RIENZO, 285",Municipio I (ex Mun XVII),Affittacamere,,2,1,,,"",7
1891,FLAVIA GUEST HOUSE,3,"VIA URBANA, 33",Municipio I (ex Mun I),Affittacamere,,2,1,,,"",7
1892,FLAVIA HOLIDAY,3,"VIA FLAVIA, 42",Municipio I (ex Mun I),Affittacamere,1,4,1,,,"",12
1893,FLORDELIZA,3,"VIA VARESE, 20",Municipio I (ex Mun I),Affittacamere,4,1,,,,"",6
1894,FLORIAN'S,2,"VIA SOLFERINO, 9",Municipio I (ex Mun I),Affittacamere,,,4,,,"",12
1895,FLORIDA ROOMS,1,"VIA COLA DI RIENZO, 243",Municipio I (ex Mun XVII),Affittacamere,2,2,2,,,"",12
1896,FLOWEROME,2,"VIA FILIPPO TURATI, 23",Municipio I (ex Mun I),Affittacamere,,3,,,,"",6
1897,FONTANA DI TREVI ROOMS,1,"VIA DEL LAVATORE, 44",Municipio I (ex Mun I),Affittacamere,,3,2,,,"",12
1898,FONTANA DI TREVI SUITES,2,"VIA DEL LAVATORE, 44",Municipio I (ex Mun I),Affittacamere,,3,3,,,"",15
1899,FONTANA ROMANA,2,"VIA GAETA, 23",Municipio I (ex Mun I),Affittacamere,,1,2,,,"",8
1900,FORTYSEVEN LUXURY SUITES COLOSSEO,2,"VIA DEL FAGUTALE, 2",Municipio I (ex Mun I),Affittacamere,1,1,1,,,"",6
1901,FORTYSEVEN LUXURY TREVI,2,"VIA DELLA DATARIA, 91",Municipio I (ex Mun I),Affittacamere,,3,1,,,"",9
1902,FORUS INN,1,"VIA CAVOUR, 194",Municipio I (ex Mun I),Affittacamere,,5,,,,"",10
