_id,INSEGNA,CLASSIFICAZIONE,INDIRIZZO,MUNICIPIO,TIPOLOGIA ESERCIZIO,SINGOLE,DOPPIE,TRIPLE,QUADRUPLE,QUINTUPLE,TOTALE CAMERE,POSTI LETTO
4598,LA TOURTERELLE,3,"VIA DEGLI SPAGNOLI, 35/a",Municipio I (ex Mun I),Case Vacanza non IMPR,,1,,,,"",2
4599,LA VACCARELLA PANTHEON,3,"VICOLO DELLA VACCARELLA, 11",Municipio I (ex Mun I),Case Vacanza non IMPR,1,,,,,"",1
4600,LA VECCHIA VETRERIA,2,"VIA CASTELFIDARDO, 36",Municipio I (ex Mun I),Case Vacanza non IMPR,,1,,,,"",2
4601,LA VERANDA DI TRASTEVERE,3,"VIA GIOVANNI VOLPATO, 8",Municipio XI (ex Mun XV),Case Vacanza non IMPR,,2,,,,"",4
4602,LA VIE EST BELLE,3,"VIA GIUSEPPE PALOMBINI, 12",Municipio XIII (ex Mun XVIII),Case Vacanza non IMPR,1,2,,,,"",5
4603,LA VILLETTA,Non Categorizzata,"VIA NICOLO' PICCOLOMINI, 18",Municipio XIII (ex Mun XVIII),Case Vacanza non IMPR,,1,,,,1,2
4604,LA VIOLETTA,2,"VIA GIULIO SACCHETTI, 10",Municipio XIII (ex Mun XVIII),Case Vacanza non IMPR,,1,,,,"",2
4605,LA ZAGARA,4,"PIAZZA ALESSANDRIA, 17",Municipio II (ex Mun II),Case Vacanza non IMPR,1,1,,,,"",3
4606,LADY GOLD,3,"VIA DI CAPO LE CASE, 3",Municipio I (ex Mun I),Case Vacanza non IMPR,,1,,,,"",2
4607,LAETA DOMUS,3,"PIAZZA DI S. MARIA ALLE FORNACI, 2",Municipio XIII (ex Mun XVIII),Case Vacanza non IMPR,,1,,,,"",2
4608,L'AFFRESCO,3,"ARCO DELLA PACE, 15",Municipio I (ex Mun I),Case Vacanza non IMPR,,2,,,,"",4
4609,L'ALBICOCCA A 1000 LIRE,3,"VIA DOMENICO MILLELIRE, 47",Municipio I (ex Mun XVII),Case Vacanza non IMPR,1,2,,,,"",5
4610,L'ANTICA PANETTERIA,4,"VIA DELLA PANETTERIA, 45",Municipio I (ex Mun I),Case Vacanza non IMPR,,1,,,,"",2
